Entity,Match,Matched Entity,Score
Nsaids/Anti-Inflammatory Classifier,False,Adverse effect of antineoplastic drug,0.8310431
Mesenteric angiograpm,False,Polyarticular postdysenteric arthritis,0.84356534
coil embolization,False,Atrial appendage isomerism,0.76618844
bleeding vessel,True,Bleeding,0.89125
long term anti-coagulation,False,Long term isotretinoin therapy,0.84386575
ulcerative colitis,True,Acute left sided ulcerative colitis,0.9334672
lower abdominal pain,True,Lower abdominal pain,1.0
a symptom,False,Cardiovascular symptom,0.84909713
a UTI,False,Upper UTI,0.7985346
"a large , bloody bowel movement",False,Absent bowel sounds,0.80007446
his vitals,False,Fecal urgency,0.72972417
a hct,False,Secondary HTN,0.79188466
his previous hct,False,Complete SAB,0.75340277
an NG lavage,False,Kwashiorkor,0.72381705
an initial DRE,False,IUD counseling,0.8014052
his bp,False,Elder neglect,0.81392115
a tagged RBC scan,False,Hx of negative pap performed within last 12 months,0.7695593
His HCT,False,Complete SAB,0.7345566
2U PRBC,False,Incomplete SAB W UTI,0.71991336
1900-01-03 U FFP,False,CKD stage 2 (gfr 60-89),0.5954243
abd pain,False,Elder neglect,0.823761
continued BRBPR,False,Complete SAB,0.7911906
Right parietal intracranial bleeding,True,Intracranial subdural abscess,0.8951076
cardiac cath,False,Left talipes,0.79329854
Sinus node dysfunction,True,Sinus node dysfunction,1.0000002
Ulcerative colitis,True,Acute left sided ulcerative colitis,0.9334672
C4-7 anterior discectomies,False,Bilat posterior corneal dystrophy,0.8173679
R intracerebral hemorrhage drainage,True,Intracerebellar hemorrhage due to birth trauma,0.9285682
anicteric sclera,False,Bilat scleromalacia perforans,0.8340842
minimally distended,False,Blighted ovum,0.7043722
trace edema at ankles,False,Occult blood in stool,0.77998793
RBC-21-50*,False,COVID-19 ruled out,0.6948018
WBC-0-2,False,"CHF, stage D",0.6064005
UREA N-25*,False,Fhx of methylmalonic acidemia,0.7515617
TOTAL CO2,False,PPD positive,0.70430744
ANION GAP,False,Penile discharge,0.7740215
PLT COUNT,False,Q fever,0.6867478
GI BLEEDING STUDY,False,Elder nutritional neglect,0.83025783
Increased tracer activity,False,Elevated antibody titer,0.8393078
active bleeding,True,Transient arthritis,0.86489373
CT ABDOMEN W/CONTRAST,False,RUQ abdominal tenderness,0.75224984
other bowel pathology,True,Complete small bowel obstruction,0.8644451
the patient 's bright red blood per rectum,False,Bright red blood per rectum,0.7504215
left adrenal fat-containing lesion,True,Left adrenal mass,0.86999136
a myelolipoma,True,Multiple myeloma w hypogammaglobulinemia,0.862776
hypodense lesion within the caudate lobe,False,Bilat canthus lesion,0.843608
Subcentimeter attenuation lesion within the lower pole,True,Conjunctival lesion,0.8660202
3-mm noncalcified pulmonary nodule within the right lower lobe,False,Hx of pulmonary valvuloplasty,0.79108685
a primary malignancy,True,Eaton Lambert syndrome wo underlying malignancy,0.8848303
followup CT of the chest,False,Incisional hernia,0.8044836
his lower GI bleed,False,Right eye swelling,0.7697865
An angiography,False,Hx of colonoscopy,0.7630867
bleeding in two vessels,False,Localized swelling on chest wall,0.82260096
a Hct,False,Secondary HTN,0.79188466
His coumadin,False,Bence jones proteinuria,0.7525074
his acute bleed,False,Painful scar,0.80195737
a flex sigmoidoscopy,False,Hx of wrist arthroscopy,0.8124972
old blood in the rectal vault,False,Rectal bleeding,0.7981384
active source of bleeding,False,Chronic passive congestion of liver,0.8175554
a colonoscopy,True,Hx of colonoscopy,0.89984274
a repeat colonoscopy,True,Hx of colonoscopy,0.8988951
mucosal signs,True,Nevus of oral mucosa,0.87182176
moderate ulcerative colitis,True,Acute left sided ulcerative colitis,0.9410625
1900-01-08 mm ulcer at junction of distal descending colon and sigmoid colon,False,"Pressure ulcer of buttock stage 1 (superficial skin changes), unspecified side",0.71216774
his colonoscopy,False,Hx of colonoscopy,0.84610707
The patient 's Asacol,False,HX of arterial switch procedure,0.7318154
his home regimen,False,Bed confinement status,0.7200545
his acute GI bleed,False,Right tunnel vision,0.7903176
his risk of bleeding,False,Painful scar,0.73075914
his home insulin regimen,False,Continuous oxygen therapy dependence,0.7298822
life-long anticoagulation,False,Declines anticoagulation therapy,0.8378459
recurrent DVTs,False,Hx of recurrent DVT,0.8383896
a PE,False,Rh negative,0.7176325
long-term anticoagulation,True,Long term anticoagulant therapy,0.8814521
His goal INR,False,Acquired left club foot,0.6761911
V. Winchester filter,False,Duplicated collecting system w obstruction,0.6924524
1900-01-02 large bore PIV's,False,DM 1 w cataract,0.6638699
Folic Acid,True,Folic acid deficiency,0.87564605
severe flares,False,Exposure to Influenza,0.7541367
Sliding scale insulin,False,Minimal change disease,0.7587246
Rectal bleeding from inferior mesenteric artery tributaries,True,Inferior mesenteric vein injury,0.90837073
shortness of breath,False,Stumbling due to lack of coordination,0.8002777
weakness in your legs or arms,False,Stumbling due to lack of coordination,0.75795394
sudden blurry vision,True,Blurred vision,0.8744956
slurred speech,True,Slurred speech,1.0000001
chest pain,True,Chest pain,1.0
significant unexplained weight loss,False,Brief resolved unexplained event in infant (BRUE),0.82135916
HIV positive,True,HIV positive,0.99999994
left upper quadrant pain,True,Left lower leg pain,0.8684652
a long-standing complaint,False,Problems related to other legal circumstances,0.68558216
blood transfusions,True,Blood transfusion reaction,0.88517547
heterosexual transmission,False,Pregnancy termination,0.8314958
cat scratch fever,True,Cat scratch disease,0.94672716
an abscess in the left lower extremity,False,Abscess of bursa of left ankle,0.8432789
any anti retroviral therapy,True,Long term antiviral therapy,0.9069984
similar pain,True,Fatigue,0.85246027
the pain,True,Pain,0.86682385
a burning pain,False,Pain crisis,0.8382225
H2 blockers,False,Poisoning by H2 receptor blocker,0.8057479
a CT scan,False,Abnl chest CT scan,0.80468374
fatty infiltration of her liver diffusely,True,Acute ischemia of colon due to mesenteric vein thrombosis,0.86092615
a 1900-01-01 cm cyst in the right lobe of the liver,False,CKD stage 2 (gfr 60-89),0.66322696
hyperdense kidneys,False,Renal agenesis,0.82373583
Her alkaline phosphatase,True,Elevated alkaline phosphatase,0.9182292
slightly elevated,False,Normal hearing,0.80989665
Her amylase,False,Ketosis,0.7759104
mildly elevated,False,Poisoning by nitrate,0.777116
progressive failure to thrive,False,Failure to thrive in newborn,0.8084173
steady weight loss,True,Slow weight gain,0.90632296
an esophagogastroduodenoscopy,False,Esophagostomy mechanical complication,0.7976978
a GI work-up,False,Anal skin tag,0.6649163
an evaluation,False,Declines procedure,0.81136066
new abscess in her left lower calf,True,Right thigh abscess,0.8600668
Mycelex troches,False,Ectopia cordis,0.83863485
acute distress,True,Acute pain,0.8773843
Blood pressure,True,Blood pressure elevation,0.87273014
HEENT exam,False,IUD counseling,0.75389457
Cardiovascular exam,False,Cardiovascular device obstruction,0.8256966
a 1900-01-02 x 1900-01-03 cm tender mass in the lateral left calf,False,"DM 1 w CKD, unspecified stage",0.61044496
medial 1900-01-01 cm mass above her knee,False,Elevated CA 19-9,0.6585753
White blood cell count,True,White blood cell disorder,0.86741054
1900-02-25 polys,False,CKD stage 2 (gfr 60-89),0.6038904
1900-01-01 band,False,"46, XX true hermaphrodite",0.55971634
Platelet count,False,Head mass,0.7566656
Alkaline phosphatase,True,Elevated alkaline phosphatase,0.95561516
Beta hCG,False,Abnl glucose,0.80230254
positive for protein,False,Pregnancy test positive,0.768964
Chest x-ray,False,Abnl chest CT scan,0.76170325
rib fracture,True,Rib injury,0.9421427
many cultures,False,Extreme poverty,0.7789488
her pain,True,Pain,0.86931145
some pain,False,Pain,0.84353733
a debridement,False,Wound dehiscence,0.72813785
her left calf lesion,False,Left nipple lesion,0.84579647
IV ceftriaxone,False,Enoxaparin overdose,0.8486762
po doxycycline,True,Right hydroxychloroquine retinopathy,0.8542421
A follow-up CT scan,False,Blood transfusion reaction,0.7704526
The 1900-01-01 cm cyst,False,CKD stage 2 (gfr 60-89),0.6157987
a cyst in her kidney,False,"Dermoid cyst, right ovary",0.77033913
a stone,False,Tremor,0.8106278
the cyst,False,Pilar cyst,0.8279576
her aspirate,False,Acute DVT of bilat peroneal veins,0.68633056
breast cancer,True,Prostate cancer,0.9362241
radiation therapy,True,Radiation sickness,0.85812956
multiple urinary tract infections,True,Urinary tract obstruction,0.92447567
dry cough,True,Persistent cough,0.8894485
decreased p.o. intake,False,Adverse effect of vitamin K,0.7813312
loose bowel movements,True,Absent bowel sounds,0.92360735
decreased urine output,False,Elevated serum cobalt,0.82754827
flu shot,False,Iron overdose,0.8272686
labile blood pressure,False,Low blood pressure reading,0.8343713
systolic blood pressure,False,"Systolic heart failure, unspecified acuity",0.8123784
two liters of intravenous fluids,False,General anesthetic overdose,0.74338245
early sepsis,True,Listerial sepsis,0.8783319
broad spectrum antibiotics,False,Breakthrough bleeding,0.78355795
a white blood cell count,False,Plasma cell leukemia,0.7935836
early pneumonia,True,Pneumonia,0.8663743
pending cultures,False,Missed abortion,0.7653253
two units of packed red blood cells,False,Fhx of multiple endocrine neoplasia syndrome,0.7438527
a hematocrit,True,Fhx of hematopoietic cancer,0.8628663
her hematocrit,False,Fhx of hematopoietic cancer,0.8171658
evidence of bleeding,False,Infected bursa,0.78742206
blood pressure,True,Blood pressure elevation,0.87273014
