Entity,Match,Matched Entity,Score
bleeding vessel,True,Breakthrough bleeding,0.94520795
dm2,True,DM 2,0.9518204
cad,True,Rales,0.9086881
DVT/PE,True,Abnl finding on EKG,0.86749476
ulcerative colitis,True,Acute ulcerative colitis of unspecified site,0.9817141
brbpr,True,BPAP dependence,0.92149717
lower abdominal pain,True,Lower abdominal pain,0.99999976
a symptom,True,Somatic symptom disorder,0.9232135
a UTI,True,Bacterial UTI,0.9245298
"a large , bloody bowel movement",True,Small bowel obstruction,0.9182148
hypovolemic,True,Hypovolemia,0.99044037
hemoconcentrated,True,Blood transfusion reaction,0.8856062
clot,True,Croup,0.90489626
CP,True,Croup,0.9492941
SOB,True,Canities,0.856488
abd pain,True,Abnl abdominal MRI,0.92514896
continued BRBPR,True,BPAP dependence,0.92302513
DM-2,True,DM 2,0.95942116
CAD,True,Rales,0.9086881
CHF,True,IUD surveillance,0.9178611
Right parietal intracranial bleeding,True,Right occipital fx,0.9266993
LBBB,True,Cradle cap,0.9003782
Sinus node dysfunction,True,Sinus node dysfunction,1.0000002
DVT,True,CMV infection,0.93054575
PE,True,Tetany,0.91047347
Ulcerative colitis,True,Acute ulcerative colitis of unspecified site,0.9817141
NAD,True,Melena,0.87209696
anicteric sclera,True,Bilat scleral ectasia,0.93933487
jvd,True,HIV positive,0.90300417
m/r/g,True,DM 2 on insulin,0.88243985
rales,True,Rales,0.99999994
minimally distended,True,Bladder distention,0.90418166
nt,True,Melena,0.86089015
rebound/guarding,True,Rebound headache,0.9395942
trace edema at ankles,True,Localized edema,0.91327894
cyanosis,True,Cyanosis,1.0000001
Increased tracer activity,True,Hx of ACE Malone procedure,0.85957015
active bleeding,True,Breakthrough bleeding,0.9233578
colitis,True,Colitis,1.0000001
other bowel pathology,True,Inflammatory bowel disease,0.9280248
the patient 's bright red blood per rectum,True,Bright red blood per rectum,0.89947283
left adrenal fat-containing lesion,True,Left adrenal mass,0.9419924
a myelolipoma,True,"Angiomyolipoma, right kidney",0.9252413
hypodense lesion within the caudate lobe,True,Hypervascular bladder lesion,0.88762367
Subcentimeter attenuation lesion within the lower pole,True,Abnl lung field finding,0.8579894
3-mm noncalcified pulmonary nodule within the right lower lobe,True,Pleural calcification,0.8874354
a primary malignancy,True,"Malignant carcinoid tumor, appendix",0.92952204
chf,True,IUD surveillance,0.9178611
uc,True,Anuria,0.91217375
brpbr,True,BPAP dependence,0.94410586
BRBPR,True,BPAP dependence,0.92149717
his lower GI bleed,True,Right Adies pupil,0.9163178
bleeding in two vessels,True,Right kidney laceration,0.8999975
his acute bleed,True,Right acute myringitis,0.89913684
old blood in the rectal vault,True,Bright red blood per rectum,0.94252896
active source of bleeding,True,Acute stroke due to embolism of basilar artery,0.90486974
bleeding,True,Bleeding,1.0000002
mucosal signs,True,Oral mucosal lesion,0.94162536
moderate ulcerative colitis,True,Acute ulcerative colitis of unspecified site,0.9775044
polyps,True,Colon polyp,0.93746644
1900-01-08 mm ulcer at junction of distal descending colon and sigmoid colon,True,DM 2 w ulcer of left foot,0.8834819
CAD/CHF,True,Hx of CNS infection,0.912882
his acute GI bleed,True,Vomiting after GI surgery,0.9088341
his risk of bleeding,True,Low fall risk,0.8924842
recurrent DVTs,True,Hx of recurrent DVT,0.95131403
a PE,True,IUD surveillance,0.90303814
DM,True,Secondary dm,0.9502915
severe flares,True,Relapsing fever,0.9141582
Rectal bleeding from inferior mesenteric artery tributaries,True,Rectal bleeding,0.9312646
shortness of breath,True,Dyspnea,0.8918961
weakness in your legs or arms,True,Weakness of left arm,0.8971909
sudden blurry vision,True,Right sudden visual loss,0.92876947
slurred speech,True,Slurred speech,1.0
chest pain,True,Chest pain,0.99999976
faintness,True,Hoarseness,0.9258052
significant unexplained weight loss,True,Brief resolved unexplained event in infant (BRUE),0.9203847
HIV positive,True,HIV positive,1.0
left upper quadrant pain,True,Left quadrantanopia,0.95600176
nausea,True,Nausea,0.9999999
vomiting,True,Vomiting,0.99999976
a long-standing complaint,True,Chronic left foot pain,0.8780924
heterosexual transmission,True,Intersexuality,0.9244418
cat scratch fever,True,Cat scratch disease,0.97704256
an abscess in the left lower extremity,True,Left arm abscess,0.95499706
pancytopenia,True,Pancytopenia,0.99999976
similar pain,True,Acute pain,0.92368287
the pain,True,Pain crisis,0.92278844
a burning pain,True,Burning sensation of skin,0.9305005
fatty infiltration of her liver diffusely,True,Right corneal infiltrate post PK,0.9077853
a 1900-01-01 cm cyst in the right lobe of the liver,True,Incomplete C1-C4 quadriplegia,0.8538924
hyperdense kidneys,True,Left renal artery hyperplasia,0.90701807
slightly elevated,True,Elevated CEA,0.9002557
mildly elevated,True,Elevated CEA,0.90105295
progressive failure to thrive,True,"Failure to thrive, child",0.92347103
steady weight loss,True,Slow weight gain,0.94703394
new abscess in her left lower calf,True,"Abscess, left eyelid",0.95752215
HIV,True,HIV positive,0.9351773
acute distress,True,Acute MI,0.9436227
afebrile,True,Pseudomonas enteritis,0.87815744
orthostatic,True,Orthostatic proteinuria,0.9404006
murmur,True,Innocent murmur,0.89915407
nontender,True,Bilat knee joint pain,0.85169566
nondistended,True,Noncompliant bladder,0.8651944
hepatosplenomegaly,True,Hepatosplenomegaly,1.0000004
a 1900-01-02 x 1900-01-03 cm tender mass in the lateral left calf,False,"Turner syndrome 45, X/other cell line w abnl sex chromosome",0.8454742
