Entity,Match,Matched Entity,Score
asthma,True,Seasonal asthma,0.913801
"asthma,",True,"Skin cancer, chin",0.87574065
CAP,False,Disequilibrium,0.8011286
Asthma,True,Seasonal asthma,0.913801
seizures,True,Vomiting,0.91453236
"seizure,",True,"Epilepsy, intractable",0.8837054
back pain.,False,Headache,0.8160866
pain,True,Pain,0.9999998
seizure,True,Tremor,0.9054024
aggitated,False,Subq hematoma,0.8085133
recurrent seizures,True,Complex febrile seizure,0.91286737
agitation,True,Agitation,0.99999976
wheezing,True,Wheezing,1.0000001
Ventilator associated pneumonia:,True,Ventilator associated pneumonia,0.87931466
fever,True,Fever,1.0000001
diuresed,False,Diurnal enuresis,0.83913535
elevated Cr 1.9,False,Low serum ferritin,0.7643815
low BPs,True,Complete SAB,0.85850203
#Hypertension:,False,Essential HTN,0.7886925
back pain,True,Back pain,1.0000001
leukocytosis,True,Leukocytosis,0.9999998
Hyperglycemia:,False,Hyperglycemia,0.83128804
Constipation.,False,Dysphagia,0.79831773
pain/fever.,False,Headache,0.8029851
sleep.,False,Dysphagia,0.78596133
SOB.,False,Bilat tinnitus,0.8435099
longer than 5 minutes.,False,Drug induced DM w foot ulcer,0.7722223
asthma.,False,Dysphagia,0.78973293
"seizures,",True,"Epilepsy, intractable",0.87182266
ALL,False,Abnl posture,0.75424933
cardiomyopathy,True,Encephalopathy,0.91411763
nausea,True,Nausea,1.0
"abdominal pain,",True,Abdominal pain,0.8748709
pain.,False,Dysphagia,0.76873326
ascites,True,Ascites,1.0000004
nausea.,False,Dysphagia,0.81302905
"pain,",True,"Skin cancer, chin",0.8568802
"constipation,",True,"Sciatica, bilat sides",0.8637919
ALL:,False,Abnl sputum,0.69115293
ALL.,False,Abnl mammography,0.7675148
leukemia,False,Monocytopenia,0.84221786
GVHD,True,Hepatitis,0.8851272
Embolic stroke,True,Cryptogenic stroke,0.93210983
Cardiomyopathy,True,Encephalopathy,0.91411763
cardiotoxicity,False,Drug induced hypothyroidism,0.83326495
ascites.,False,Ascites,0.77600706
